Country_Code,Country,Pop
SWE,Sweden,9903122
SWZ,Swaziland,1343098
SXM,Sint Maarten (Dutch part),40005
SYC,Seychelles,94677
SYR,Syria,18430453
TCA,Turks and Caicos Islands,34900
TCD,Chad,14452543
TEA,East Asia & Pacific (IDA & IBRD countries),2026028438
TEC,Europe & Central Asia (IDA & IBRD countries),455372659
TGO,Togo,7606374
THA,Thailand,68863514
TJK,Tajikistan,8734951
TKM,Turkmenistan,5662544
TLA,Latin America & the Caribbean (IDA & IBRD countries),621534921
TLS,Timor-Leste,1268671
TMN,Middle East & North Africa (IDA & IBRD countries),369167489
TON,Tonga,107122
TSA,South Asia (IDA & IBRD),1766383450
TSS,Sub-Saharan Africa (IDA & IBRD countries),1033106135
TTO,Trinidad and Tobago,1364962
TUN,Tunisia,11403248
TUR,Turkey,79512426
TUV,Tuvalu,11097
TZA,Tanzania,55572201
UGA,Uganda,41487965
UKR,Ukraine,45004645
UMC,Upper middle income,2579909675
URY,Uruguay,3444006
USA,US,323127513
UZB,Uzbekistan,31848200
VCT,St. Vincent and the Grenadines,109643
VEN,Venezuela,31568179
VGB,British Virgin Islands,30661
VIR,Virgin Islands (U.S.),102951
VNM,Vietnam,92701100
VUT,Vanuatu,270402
WLD,World,7442135578
WSM,Samoa,195125
XKX,Kosovo,1816200
YEM,"Yemen, Rep.",27584213
ZAF,South Africa,55908865
ZMB,Zambia,16591390
ZWE,Zimbabwe,16150362
